date,category_id,group_id,productId,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
2026-06-29,1,1,15023,1.0,2.1,23.98,1.69,2.69,Normal
2026-06-29,1,1,15023,60.0,84.99,121.98,69.01,84.98,Foil
2026-06-29,1,1,15024,0.07,0.3,4.99,0.15,,Normal
2026-06-29,1,1,15024,0.5,2.68,96.95,5.87,7.61,Foil
2026-06-29,1,1,15025,4.39,5.44,79.99,5.83,6.06,Normal
2026-06-29,1,1,15025,35.0,50.41,65.32,38.79,,Foil
2026-06-29,1,1,15026,0.01,0.27,4.28,0.31,0.1,Normal
2026-06-29,1,1,15026,0.4,0.58,2.99,,0.5,Foil
2026-06-29,1,1,15027,0.01,0.25,4.99,0.06,,Normal
2026-06-29,1,1,15027,0.3,0.5,0.75,0.52,,Foil
2026-06-29,1,1,15028,0.02,0.3,3.0,0.29,,Normal
2026-06-29,1,1,15028,0.4,0.53,1.05,0.53,,Foil
2026-06-29,1,1,15029,0.04,0.26,4.99,0.08,0.08,Normal
2026-06-29,1,1,15029,0.34,0.5,1.1,0.4,0.49,Foil
2026-06-29,1,1,15030,0.69,1.16,8.99,1.22,,Normal
2026-06-29,1,1,15030,6.8,9.0,11.43,7.5,,Foil
2026-06-29,1,1,15031,0.01,0.25,10.0,0.08,,Normal
2026-06-29,1,1,15031,0.25,0.5,0.75,0.47,,Foil
2026-06-29,1,1,15032,0.07,0.28,3.03,0.17,,Normal
2026-06-29,1,1,15032,0.52,1.09,1.44,0.99,,Foil
2026-06-29,1,1,15033,0.05,0.34,3.19,0.32,0.1,Normal
2026-06-29,1,1,15033,0.73,2.12,3.97,2.49,,Foil
2026-06-29,1,1,15034,0.1,0.3,3.0,0.28,,Normal
2026-06-29,1,1,15034,0.42,1.0,7.66,0.44,,Foil
2026-06-29,1,1,15035,0.02,0.25,3.0,0.05,,Normal
2026-06-29,1,1,15035,0.38,0.5,1.33,0.4,0.4,Foil
2026-06-29,1,1,15036,5.55,6.78,11.2,6.45,,Normal
2026-06-29,1,1,15036,20.0,20.0,20.0,18.67,,Foil
2026-06-29,1,1,15037,0.09,0.25,10.0,0.11,,Normal
2026-06-29,1,1,15037,0.35,1.21,2.99,0.92,,Foil
2026-06-29,1,1,15038,0.1,0.38,1.75,0.38,0.22,Normal
2026-06-29,1,1,15038,0.76,4.5,6.5,5.18,,Foil
2026-06-29,1,1,15039,0.2,0.68,21.61,0.76,,Normal
2026-06-29,1,1,15039,14.64,18.16,192.99,8.0,,Foil
2026-06-29,1,1,15040,1.89,2.79,13.76,2.86,,Normal
2026-06-29,1,1,15040,9.68,10.47,17.71,10.5,,Foil
2026-06-29,1,1,15041,0.03,0.25,20.0,0.24,0.05,Normal
2026-06-29,1,1,15041,0.15,0.54,2.59,0.29,,Foil
2026-06-29,1,1,15042,0.09,0.29,4.99,0.26,,Normal
2026-06-29,1,1,15042,0.39,0.7,1.02,1.02,,Foil
2026-06-29,1,1,15043,6.0,7.85,36.69,6.62,,Normal
2026-06-29,1,1,15043,34.45,43.8,53.14,36.73,,Foil
2026-06-29,1,1,15044,0.35,0.75,8.99,0.62,,Normal
2026-06-29,1,1,15044,4.0,6.29,8.26,,,Foil
2026-06-29,1,1,15045,0.02,0.25,4.77,0.22,,Normal
2026-06-29,1,1,15045,0.25,0.56,2.06,0.53,,Foil
2026-06-29,1,1,15046,0.01,0.25,2.04,0.11,,Normal
